Open,High,Low,Close,Adj Close,Volume,Return,Z_Score,Anomaly,Close_Diff,Lag_1,Lag_2,Lag_3,Lag_7,MA_7,MA_30
82.14286,82.391426,81.702858,82.071426,70.92115,50749300,0.004317879992400853,0.21026760524783736,0,0.35285100000000114,81.718575,81.538574,83.157143,83.682854,82.65755128571428,81.261571
81.667145,82.0,80.80143,81.292854,70.248352,70709100,-0.009486517268507022,-0.6458782721418623,0,-0.7785719999999969,82.071426,81.718575,81.538574,83.915718,82.28285642857144,81.37095183333332
82.571426,83.428574,82.035713,83.428574,72.093903,105375200,0.026271927911400317,1.571853139380108,0,2.135719999999992,81.292854,82.071426,81.718575,83.677139,82.24734714285714,81.6275233
83.53286,84.781425,83.371429,84.645714,73.145668,100023000,0.014589006399653881,0.8472807513864489,0,1.2171400000000006,83.428574,81.292854,82.071426,82.524284,82.55040857142856,81.92342809999998
84.982857,85.714287,84.85714,85.629997,73.996246,60428200,0.011628267439506734,0.663656330352485,0,0.9842830000000049,84.645714,83.428574,81.292854,83.157143,82.90367342857142,82.10499953333333
85.794289,87.762856,85.664284,87.134285,75.29615,121095800,0.017567301794954027,1.0319940189157586,0,1.5042880000000025,85.629997,84.645714,83.428574,81.538574,83.70306071428571,82.35723749999998
86.727142,86.919998,85.940002,86.554283,74.794975,104732600,-0.006656415439686092,-0.4703559391096458,0,-0.5800020000000075,87.134285,85.629997,84.645714,81.718575,84.39387614285715,82.52542799999999
86.471428,87.699997,86.30143,87.69857,75.783798,94851400,0.01322045496003943,0.7624034727283154,0,1.1442870000000056,86.554283,87.134285,85.629997,82.071426,85.19775385714286,82.7567136
88.281425,88.552856,86.472855,86.887146,75.082603,127989400,-0.009252419965342651,-0.6313596055732184,0,-0.8114240000000024,87.69857,86.554283,87.134285,81.292854,85.99693842857143,82.97538043333333
86.58857,86.808571,85.317146,86.347145,74.615967,117330500,-0.006214969933527326,-0.442977579660348,0,-0.5400010000000037,86.887146,87.69857,86.554283,83.428574,86.41387714285715,83.1285235
85.748573,86.209999,84.668571,85.557144,73.933273,107010400,-0.009149127049886907,-0.6249534002127403,0,-0.7900010000000037,86.347145,86.887146,87.69857,84.645714,86.54408142857143,83.22247593333333
86.135712,86.741432,85.714287,86.424286,74.682602,77856800,0.010135237800831698,0.5710589394043054,0,0.8671420000000012,85.557144,86.347145,86.887146,85.629997,86.65755128571429,83.35219013333334
86.445717,87.374283,86.431427,86.701431,74.922119,75315100,0.0032067953676817584,0.14135836546681899,0,0.2771450000000044,86.424286,85.557144,86.347145,87.134285,86.595715,83.57085696666667
87.255714,87.35714,86.164284,86.705711,74.925812,73406200,4.936481382866731e-05,-0.054464827732694676,0,0.004279999999994288,86.701431,86.424286,85.557144,86.554283,86.61734757142857,83.7739522
86.655716,86.905716,86.222855,86.608574,74.841896,63175000,-0.0011203068273091255,-0.1270076222156974,0,-0.09713699999998937,86.705711,86.701431,86.424286,87.69857,86.46163385714286,83.9807617
87.325714,87.907143,86.571426,87.760002,75.836884,109215400,0.013294619075473912,0.7670031159057323,0,1.1514279999999957,86.608574,86.705711,86.701431,86.887146,86.58632757142857,84.18485690000001
87.575714,87.777145,86.242859,86.328575,74.599937,99367800,-0.01631069926365769,-1.0691126351698224,0,-1.4314269999999993,87.760002,86.608574,86.705711,86.347145,86.58367471428572,84.33999986666667
84.914284,86.557144,83.958572,86.261429,74.541885,121993900,-0.0007777957646120104,-0.10576515659071041,0,-0.06714599999999393,86.328575,87.760002,86.608574,85.557144,86.68428685714287,84.45195233333332
86.76857,87.097145,85.501427,85.845711,74.182663,141283100,-0.004819280237057244,-0.3564171918966627,0,-0.41571800000001247,86.261429,86.328575,87.760002,86.424286,86.60163328571427,84.59361899999999
82.065712,82.971428,81.428574,82.138573,70.979172,219328200,-0.04318372993614095,-2.7357724674224597,0,-3.7071380000000005,85.845711,86.261429,86.328575,86.701431,85.94979642857142,84.58795239999999
82.822861,82.914284,81.480003,82.125717,70.968056,101658200,-0.00015651598914434572,-0.06723351276599064,0,-0.012855999999999312,82.138573,85.845711,86.261429,86.705711,85.29551157142858,84.60090483333333
82.144287,83.690002,81.655716,83.594284,72.237114,100984100,0.017881938248405227,1.051507707011478,0,1.4685670000000073,82.125717,82.138573,85.845711,86.608574,84.86489871428572,84.66580960000002
84.417145,85.634285,83.974289,85.004288,73.455574,94785600,0.016867229821598828,0.9885756991922716,0,1.4100040000000007,83.594284,82.125717,82.138573,87.760002,84.47122528571428,84.76533353333335
86.175713,87.385712,86.102859,87.251427,75.397385,115581900,0.02643559581370769,1.5820037890008845,0,2.247139000000004,85.004288,83.594284,82.125717,86.328575,84.60306128571429,84.88428596666667
87.987144,88.057144,86.14286,86.687141,74.909775,96125400,-0.0064673555425059925,-0.4586304831921436,0,-0.5642860000000098,87.251427,85.004288,83.594284,86.261429,84.66387728571429,84.97666673333333
86.120003,87.241432,85.75,86.827141,75.030754,83039600,0.0016150030833292917,0.04263573555755273,0,0.14000000000000057,86.687141,87.251427,85.004288,85.845711,84.80408157142857,85.0816668
87.66143,88.28286,87.365715,87.957146,76.007233,86230200,0.013014421377757879,0.7496253123537436,0,1.130004999999997,86.827141,86.687141,87.251427,82.138573,85.63530628571428,85.26276220000001
88.184288,89.267143,87.894287,88.935715,76.852821,75525800,0.011125520148186796,0.6324760468024522,0,0.9785690000000073,87.957146,86.827141,86.687141,82.125717,86.60816314285714,85.45538126666665
88.96714,89.285713,88.291428,88.701431,76.650383,72611700,-0.0026343072633980835,-0.22090561770402203,0,-0.23428400000000238,88.935715,87.957146,86.827141,83.594284,87.33775557142857,85.69414316666666
88.484283,89.125717,88.157143,88.55143,76.520775,61176500,-0.0016910775655919474,-0.16240670594819318,0,-0.15000100000000316,88.701431,88.935715,87.957146,85.004288,87.84449014285714,85.921905
88.264282,88.818573,88.257141,88.675713,76.957161,55410600,0.0014035120607314155,0.029519105857619334,0,0.12428300000000547,88.55143,88.701431,88.935715,87.251427,88.04795957142856,86.1420479
88.387146,88.822861,88.385712,88.814285,77.077438,48734700,0.0015626826705075203,0.039390834321079565,0,0.13857199999999636,88.675713,88.55143,88.701431,86.687141,88.35183728571428,86.39276226666667
89.055717,90.0,89.035713,90.0,78.106461,69708100,0.01335049874015204,0.7704687612098976,0,1.1857150000000019,88.814285,88.675713,88.55143,86.827141,88.80510285714286,86.61180979999999
90.267143,91.230003,90.029999,90.241432,78.315979,85042300,0.002682577777777917,0.10884649841686844,0,0.2414320000000032,90.0,88.814285,88.675713,87.957146,89.13142942857144,86.79833373333334
90.185715,90.571426,89.678574,90.118568,78.209335,64335600,-0.0013615032172805686,-0.14196657268723348,0,-0.12286400000000697,90.241432,90.0,88.814285,88.935715,89.30040842857143,86.94795276666667
90.172859,90.965714,90.071426,90.905716,78.892494,63633500,0.008734581756780768,0.4841905397856536,0,0.787148000000002,90.118568,90.241432,90.0,88.701431,89.61530628571428,87.07366713333334
91.428574,92.598572,91.258568,92.587143,80.351715,110690300,0.01849638365974693,1.0896154849795123,0,1.6814269999999993,90.905716,90.118568,90.241432,88.55143,90.19183671428571,87.27476246666667
92.858574,95.021431,92.842857,95.021431,82.464294,153346200,0.02629185782306731,1.573089188400427,0,2.4342880000000093,92.587143,90.905716,90.118568,88.675713,91.09836785714286,87.51885783333334
